station_code,measure_year,HS
JUL2,1998,33.110731373889266
JUL2,1999,103.78660797034291
JUL2,2000,119.60946952070731
JUL2,2001,134.8320726172466
JUL2,2002,101.6438809261301
JUL2,2003,151.70847581827064
JUL2,2004,106.85722463934052
JUL2,2005,72.0758876769552
JUL2,2006,80.09834150899323
JUL2,2007,80.69997615072741
JUL2,2008,121.26135569531796
JUL2,2009,137.66958424507658
JUL2,2010,119.31117430975235
JUL2,2011,84.38041188860285
JUL2,2012,100.21873182082606
JUL2,2013,95.10894402769763
JUL2,2014,143.99873388581952
JUL2,2015,112.51381533502187
JUL2,2016,69.57508340043712
JUL2,2017,75.92753069261062
JUL2,2018,132.4446247697974
JUL2,2019,144.88617511520738
JUL2,2020,97.09524954212453
JUL2,2021,116.57811595880106
JUL2,2022,73.92692396847474
JUL2,2023,65.60250838053405
JUL2,2024,152.1219696969697